Nombre de la IPS;Dirección;Localidad;Tipo de Complejidad / Especialidad;"Coordenadas (Latitud; Longitud)"
Fundación Santa Fe de Bogotá;Calle 119 # 7 - 75;USAQUEN;Alta Complejidad (General);"4.6951; -74.0330"
Fundación Cardioinfantil;Calle 163A # 13B - 60;USAQUEN;Alta Complejidad (Cardiovascular / General);"4.7351; -74.0315"
Los Cobos Medical Center;Avenida Carrera 9 # 131A - 40;USAQUEN;Alta Complejidad (General);"4.7118; -74.0305"
Clínica del Country;Carrera 16 # 82 - 57;CHAPINERO;Alta Complejidad (General);"4.6677; -74.0537"
Clínica de Marly;Calle 50 # 9 - 67;CHAPINERO;Alta Complejidad (General);"4.6375; -74.0645"
Hospital Universitario San Ignacio;Carrera 7 # 40 - 62;CHAPINERO;Alta Complejidad (General);"4.6288; -74.0642"
Clínica Reina Sofía;Avenida Calle 127 # 21 - 60;USAQUEN;Alta Complejidad (General);"4.7042; -74.0514"
Fundación Clínica Shaio;Diagonal 115A # 70C - 75;SUBA;Alta Complejidad (Cardiovascular / General);"4.6947; -74.0747"
Clínica de la Colina;Calle 167 # 72 - 07;SUBA;Alta Complejidad (General);"4.7505; -74.0664"
Clínica Juan N. Corpas;Avenida Carrera 111 # 159A - 35;SUBA;Alta Complejidad (General);"4.7508; -74.1165"
Clínica Los Nogales;Calle 95 # 23 - 61;BARRIOS UNIDOS;Alta Complejidad (General);"4.6834; -74.0573"
Clínica VIP (Medisanitas);Calle 97 # 23 - 10;CHAPINERO;Mediana Complejidad (General);"4.6839; -74.0558"
Hospital Simón Bolívar;Calle 165 # 7 - 06;USAQUEN;Alta Complejidad (Público - Quemados / General);"4.7411; -74.0278"
Hospital de Suba;Avenida Cali # 152 - 40;SUBA;Alta Complejidad (Público);"4.7431; -74.0952"
Hospital de Engativá (Calle 80);Transversal 100a # 80A - 50;ENGATIVA;Alta Complejidad (Público);"4.7105; -74.1147"
Hospital Chapinero;Calle 66 # 15 - 41;CHAPINERO;Baja Complejidad (Público);"4.6542; -74.0641"
Hospital Universitario Mayor - Méderi;Calle 24 # 29 - 45;TEUSAQUILLO;Alta Complejidad (General);"4.6225; -74.0836"
Hospital Universitario Barrios Unidos - Méderi;Calle 66A # 52 - 25;BARRIOS UNIDOS;Alta Complejidad (General);"4.6644; -74.0811"
Clínica Palermo;Calle 45C # 22 - 02;TEUSAQUILLO;Alta Complejidad (General);"4.6336; -74.0739"
Clínica Nueva;Calle 45A # 9 - 33;TEUSAQUILLO;Mediana Complejidad (General);"4.6317; -74.0667"
Clínica San Diego;Carrera 13 # 33 - 52;SANTA FE;Alta Complejidad (Oftalmológica / General);"4.6203; -74.0681"
Hospital Militar Central;Transversal 3 # 49 - 00;CHAPINERO;Alta Complejidad (Régimen Especial);"4.6339; -74.0617"
Hospital de San José;Calle 10 # 18 - 75;LOS MARTIRES;Alta Complejidad (General);"4.6025; -74.0886"
Clínica Central de Urgencias San Rafael;Carrera 8 # 17 - 45 Sur;SAN CRISTOBAL;Alta Complejidad (General);"4.5802; -74.0847"
Hospital Universitario Santa Clara;Carrera 14B # 1 - 45 Sur;ANTONIO NARIÑO;Alta Complejidad (Público);"4.5936; -74.0864"
Hospital San Blas;Transversal 5 Este # 19 - 50 Sur;SAN CRISTOBAL;Mediana Complejidad (Público);"4.5703; -74.0631"
Hospital La Victoria;Diagonal 39 Sur # 3 - 20 Este;SAN CRISTOBAL;Alta Complejidad (Público);"4.5614; -74.0714"
Instituto Materno Infantil;Carrera 10 # 1 - 66 Sur;SANTA FE;Alta Complejidad (Público - Materno);"4.5911; -74.0817"
Hospital de la Misericordia (HOMI);Avenida Caracas # 1 - 13;LOS MARTIRES;Alta Complejidad (Público - Pediátrico);"4.5950; -74.0831"
Clínica Universitaria Colombia;Calle 22B # 66 - 46;FONTIBON;Alta Complejidad (General);"4.6433; -74.1102"
Clínica del Occidente;Avenida de las Américas # 71C - 29;KENNEDY;Alta Complejidad (General);"4.6269; -74.1378"
Clínica Medical (Sede Kennedy);Calle 41 Sur # 78A - 52;KENNEDY;Alta Complejidad (Trauma / General);"4.6203; -74.1539"
Clínica Nuestra Señora de la Paz;Calle 13 # 68F - 25;FONTIBON;Especializada (Salud Mental);"4.6405; -74.1205"
Hospital Occidente de Kennedy;Transversal 74F No. 40B - 54 Sur;KENNEDY;Alta Complejidad (Público);"4.6208; -74.1444"
Hospital de Bosa;Calle 73 Sur # 100A - 53;BOSA;Alta Complejidad (Público);"4.6158; -74.1956"
Hospital Fontibón;Carrera 106 # 15A – 32;FONTIBON;Mediana Complejidad (Público);"4.6739; -74.1481"
Hospital Pediátrico Patio Bonito Tintal;Calle 10 # 86 - 58;KENNEDY;Mediana Complejidad (Público - Pediátrico);"4.6361; -74.1611"
Clínica Medical (Sede Santa Juliana);Calle 50 Sur # 14 - 83;TUNJUELITO;Alta Complejidad (General);"4.5772; -74.1142"
Clínica Policlínica del Olaya;Carrera 21 # 22 - 51 Sur;RAFAEL URIBE URIBE;Alta Complejidad (General);"4.5828; -74.1039"
Hospital El Centenario;Carrera 24G # 27 - 40 Sur;RAFAEL URIBE URIBE;Mediana Complejidad (Público);"4.5886; -74.1036"
Hospital El Tunal;Carrera 20 # 47B - 35 Sur;TUNJUELITO;Alta Complejidad (Público);"4.5689; -74.1331"
Hospital Meissen;Carrera 18B # 60G - 36 Sur;CIUDAD BOLIVAR;Alta Complejidad (Público);"4.5586; -74.1417"
Hospital Vista Hermosa;Carrera 18C # 66A - 55 Sur;CIUDAD BOLIVAR;Baja Complejidad (Público);"4.5502; -74.1536"
Hospital de Usme;Carrera 14 # 97-71 Sur;USME;Mediana Complejidad (Público);"4.4844; -74.1158"
USS (CAMI) Altamira;Carrera 12A Este # 42A - 11 Sur;SAN CRISTOBAL;Urgencias de Baja Complejidad (Público);"4.5517; -74.0683"
USS (CAMI) Chinchiná;Calle 61 Sur # 77C - 51;CIUDAD BOLIVAR;Urgencias de Baja Complejidad (Público);"4.5939; -74.1664"
USS (CAMI) Nazareth;Pasquilla Sector El Líbano;CIUDAD BOLIVAR;Urgencias de Baja Complejidad (Público Rural);"4.3852; -74.1755"
USS (CAMI) Bosa Centro;Calle 63 Sur # 80H - 44;BOSA;Urgencias de Baja Complejidad (Público);"4.6111; -74.1831"
Clínica de Urgencias Sanitas Toberín;Calle 166 # 20 - 45;USAQUEN;Urgencias Ambulatorias (Privado);"4.7439; -74.0392"
Centro de Urgencias Compensar Calle 26;Avenida Calle 26 # 66A - 48;TEUSAQUILLO;Urgencias Ambulatorias (Privado);"4.6544; -74.1039"
Centro de Urgencias Compensar Autopista Sur;Carrera 65A # 44A - 25 Sur;TUNJUELITO;Urgencias Ambulatorias (Privado);"4.5989; -74.1394"
Centro de Urgencias Colmédica Calle 100;Avenida Calle 100 # 11B - 67;USAQUEN;Urgencias Ambulatorias (Privado);"4.6853; -74.0411"
Centro de Urgencias Colmédica Centro Mayor;Autopista Sur # 38 - 19 Sur;ANTONIO NARIÑO;Urgencias Ambulatorias (Privado);"4.5947; -74.1203"
Clínica Campo Abierto;Carrera 14 # 80 - 47;CHAPINERO;Especializada (Salud Mental);"4.6647; -74.0553"
Clínica Inmaculada;Carrera 7 # 66 - 32;CHAPINERO;Especializada (Salud Mental);"4.6492; -74.0617"
Clínica Barraquer;(Instituto Barraquer de América) Avenida Calle 100 # 18A - 51;USAQUEN;Especializada (Oftalmología);"4.6847; -74.0494"
Clínica de Ojos;Carrera 14 # 93B - 51;CHAPINERO;Especializada (Oftalmología);"4.6789; -74.0514"
Clínica Infantil Santa Maria del Lago;Calle 73A # 76 - 66;ENGATIVA;Alta Complejidad (Pediátrica / General);"4.6881; -74.0952"
Hospital San Carlos;Carrera 13 # 28 - 44 Sur;RAFAEL URIBE URIBE;Mediana Complejidad (General);"4.5772; -74.0986"
Clínica San Marcelino;Calle 25G # 74 - 52;FONTIBON;Mediana Complejidad (General);"4.6603; -74.1228"
Clínica Nueva El Lago;Calle 76 # 14 - 44;CHAPINERO;Alta Complejidad (General);"4.6631; -74.0608"
Clínica Red Humana;Calle 100 # 47A - 32;SUBA;Mediana Complejidad (General);"4.6917; -74.0711"
Clínica Nogales Especialidades;Autopista Norte # 104 - 60;USAQUEN;Especializada / Ambulatoria;"4.6931; -74.0531"
USS (CAPS) Santa Helenita;Carrera 84D # 71B - 02;ENGATIVA;Urgencias de Baja Complejidad (Público);"4.6989; -74.1058"
USS (CAPS) Suba;Carrera 92 # 147C - 30;SUBA;Urgencias de Baja Complejidad (Público);"4.7456; -74.0894"
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
