Movil;Items;Complejidad;Localidad;Propuesta Base;Direccion;Subred Integrada De Servicios De Salud;Coordenadas Geograficas;;;;;;;;;
6852;1;TAM;ANTONIO NARIÑO;Éxito Ciudad Jardín;KRA 12D 16 Sur 48;Subred Centro Oriente;4 34 57.04 N 74 5 50.56 W;;;;;;;;;
6996;2;TAM;ANTONIO NARIÑO;EDS TEXACO AV CL 11;AV CL 11 SUR 15 11;Subred Centro Oriente;4 35 11.35 N 74 5 47.57 W;;;;;;;;;
7070;3;TAM;ANTONIO NARIÑO;Centro Comercial Centro Mayor;CL 38A SUR 34D 51;Subred Sur;4°35′25.93″N 74°7′23.94″W;;;;;;;;; 
7071;4;TAM;ANTONIO NARIÑO;EDS PRIMAX LAS DELICIAS;AUTO SUR 59A 50;Subred Sur;4°35'43.38"N 74°8'45.42"W;;;;;;;;; 
7072;5;TAM;BARRIOS UNIDOS;Casino Central de Suboficiales Fuerza Aeroespacial Colombiana;KRA 61 96 02;Subred Norte;4°41′3.89″N 74°4′3.56″W;;;;;;;; ;
7073;6;TAM;BARRIOS UNIDOS;Centro comercial Iserra 100;Transversal 55 # 98A-66;Subred Norte;4°41′17.71″N 74°3′51.88″W;;;;;;; ;;
6341;7;TAB;BARRIOS UNIDOS;;IDRD calle 63a 59a;Subred Norte;4°39′27.15″N 74°5′5.8″W;;;;;;;;;
6875;8;TAB;BOSA;Terminal Satelite del Sur;CL 57Q 75F 82;Subred Sur Occidente;4°35′54.74″N 74°10′36.11″W;;;;;;;;;
6876;9;TAB;BOSA;EDS TERPEL BETANIA;KR 86 A 52 19 SUR;Subred Sur Occidente;4°37′36.01″N 74°10′39.19″W;;;;;;;;;
6877;10;TAB;BOSA;Metro Bosa Atalayas;KRA 92 60 90 SUR;Subred Sur Occidente;4°37′49.33″N 74°11′37.53″W;;;;;;;;;
6878;11;TAB;BOSA;Portal TransMilenio del Sur;AUTOPISTA SUR TV 73;Subred Sur Occidente;4°35′41.06″N 74°9′52.2″W;;;;;;;;;
7050;12;TAB;BOSA;Jumbo autopista sur;CL 57 77A 18 SUR;Subred Sur Occidente;4°35′49.97″N 74°9′59.44″W;;;;;;;;;
7051;13;TAB;CHAPINERO;Casino Central de Oficiales de la Fuerza Aérea Colombiana;CL 64 4 21;Subred Norte;4°38′48.71″N 74°3′21.14″W;;;;;;;;;
7092;14;TAM;CHAPINERO;EDS PRIMAX EL TRIÁNGULO AUTOGAS;KRA 7 59 47;Subred Norte;4°38′41.03″N 74°3′41.83″W;;;;;;;;;
6851;15;TAM;CHAPINERO;Centro comercial los heroes;Carrera 19A # 79-99;Subred Norte;4°39′59.83″N 74°3′36.3″W;;;;;;;;;
6880;16;TAB;CIUDAD BOLIVAR;EDS TERPEL GANADERO;CL 71 BIS SUR 17 88;Subred Sur;4°32′47.26″N 74°8′14.95″W;;;;;;;;;
6379;17;TAB;CIUDAD BOLIVAR;EDS TERPEL LAS VEGAS GAZEL;KR 51 58D 17 SUR;Subred Sur;4°34′50.85″N 74°9′15.73″W;;;;;;;;;
6879;18;TAB;CIUDAD BOLIVAR;Centro Comercial Gran Plaza El Ensueño;AV VILLAVICENCIO TV 63;Subred Sur;4°35′5.42″N 74°9′23.86″W;;;;;;;;;
6340;19;TAB;CIUDAD BOLIVAR;EDS TEXACO CIUDAD BOLÍVAR;DG 62 SUR 21 A 36;Subred Sur;4°34′2.39″N 74°8′32.87″W;;;;;;;;;
6968;20;TAM;CIUDAD BOLIVAR;Cafam madelena;CL 57R SUR 67 71;Subred Sur;4°35′41.47″N 74°9′37.54″W;;;;;;;;;
6399;21;TAB;CIUDAD BOLIVAR;Centro Comercial Gran Plaza El Ensueño;Av. Cdad. de Villavicencio #TV 63, Bogotá;Subred Sur;4°35′5.42″N 74°9′23.86″W;;;;;;;;;
6438;22;TAB;CIUDAD BOLIVAR;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS FACULTAD TECNOLOGIA;Calle 68 n bis a sur # 49 f 70;Subred Sur;4°34′49.13″N 74°9′19.18″W;;;;;;;;;
6403;23;TAB;CIUDAD BOLIVAR;MAKRO SUPERMAYORISTA S.A - VILLA DEL RÍO;KRA 63 57G CL 47 Sur;Subred Sur Occidente;4°35′49.62″N 74°9′8.96″W;;;;;;;;;
7033;24;TAM;ENGATIVA;Metro San Cayetano;CL 26 A 85 A 51;Subred Sur Occidente;4°40′37.81″N 74°7′0.37″W;;;;;;;;;
6564;25;TAB;ENGATIVA;Movil ESPEJO - Hospital de Engativa;Tv 100A #80a-50, Bogotá;Subred Norte;4°42′41.2″N 74°6′35.27″W;;;;;;;;;
7049;26;TAM;ENGATIVA;CENTRO COMERCIAL TITAN PLAZA;av boyaca # 80-94;Subred Norte;4°41′40.94″N 74°5′10.27″W;;;;;;;;;
6560;27;TAB;ENGATIVA;EDS SHELL;EDS SHELL LA ESPAÑOLA AV CL 80 86 94;Subred Norte;4°42′13.73″N 74°6′6.32″W;;;;;;;;;
6437;28;TAB;ENGATIVA;Estacion de bomberos Las Ferias ;Cra. 69j #72-61, Bogotá;Subred Norte;4°40′59.63″N 74°5′24.02″W;;;;;;;;;
7064;29;TAM;ENGATIVA;EDS SHELL TANQUEO SUR;AV BOYACA 55 41;Subred Norte;4°40′23.87″N 74°6′18.95″W;;;;;;;;;
6926;30;TAM;ENGATIVA;IDIGER;DG 47 77A 09;Subred Norte;4°40′29.3″N 74°6′48.58″W;;;;;;;;;
7063;31;TAM;ENGATIVA;USS ENGATIVA CALLE 80;Tv 100A #80a-50, Bogotá;Subred Norte;4°42′41.2″N 74°6′35.27″W;;;;;;;;;
7036;32;TAM;ENGATIVA;EDS ESSO SERVICIOS CONTINENTAL SAS;CL 80 90A 17;Subred Norte;4°42′17.64″N 74°6′21.05″W;;;;;;;;;
6406;33;TAB;FONTIBON;Centro Comercial Multiplaza;AV BOYACA CL 13;Subred Sur Occidente;4°39′6″N 74°7′31.78″W;;;;;;;;;
5179;34;TAB;FONTIBON;Centro Comercial Hayuelos;CL 20 82 52;Subred Sur Occidente;4°39′49.43″N 74°7′49.75″W;;;;;;;;;
6562;35;TAB;FONTIBON;SEDE ADMINISTRATIVA BOSTON SUBRED SUR OCCIDENTE;carrera 104 # 20c - 31;Subred Sur Occidente;4°40′41.69″N 74°8′37.74″W;;;;;;;;;
6937;36;TAB;FONTIBON;Centro de Comando, Control, Comunicaciones y Computo C4;CL 20 68A 06;Subred Norte;4°38′37.51″N 74°6′46.98″W;;;;;;;;;
7052;37;TAM;FONTIBON;Aeropuerto el Dorado;Aeropuerto el dorado AV dorado carrera 103;Subred Norte;4°42′15.97″N 74°8′16.45″W;;;;;;;;;
6939;38;TAM;KENNEDY;CUERPO DE BOMBEROS VOLUNTARIOS DE BOGOTA E UNO;CALLE 8 SUR 70B - 90;Subred Sur Occidente;4°37′7.88″N 74°8′6.82″W;;;;;;;;;
6899;39;;KENNEDY;EDS PETROBRAS EL VERGEL;AV CIUDAD DE CALI 12 75;Subred Sur Occidente;4°39′12.13″N 74°8′31.37″W;;;;;;;;;
